drug1	drug2	Label
DB01115	DB08807	1
DB01115	DB00187	1
DB01115	DB00871	1
DB01115	DB01295	1
DB01115	DB01297	1
DB01115	DB08808	1
DB01115	DB00489	1
DB01115	DB01136	1
DB01115	DB06216	1
DB01115	DB04861	1
DB01115	DB04846	1
DB01115	DB01203	1
DB01115	DB00521	1
DB01115	DB01182	1
DB01115	DB01359	1
DB01115	DB00866	1
DB01115	DB00195	1
DB01115	DB00960	1
DB01115	DB01193	1
DB01115	DB00612	1
DB01115	DB00598	1
DB01115	DB09351	1
DB01115	DB01118	1
DB01115	DB00373	1
DB01115	DB01151	1
DB01115	DB01210	1
DB01115	DB01214	1
DB01115	DB01580	1
DB01115	DB00335	1
DB01115	DB00571	1
DB13231	DB00808	2
DB00684	DB00533	2
DB00865	DB13209	2
DB00955	DB00768	2
DB01082	DB09216	2
DB03615	DB00586	2
DB01082	DB09218	2
DB00937	DB13650	2
DB00684	DB06725	2
DB01082	DB08991	2
DB02659	DB00477	2
DB02659	DB00570	2
DB00684	DB00573	2
DB00955	DB00605	2
DB00563	DB01202	2
DB00798	DB08439	2
DB03615	DB00991	2
DB06696	DB08984	2
DB01082	DB13783	2
DB00955	DB00608	2
DB00684	DB00244	2
DB01421	DB00179	2
DB01082	DB09288	2
DB00479	DB06196	2
DB01164	DB00310	2
DB00937	DB08938	2
DB00684	DB00328	2
DB06696	DB00210	2
DB00479	DB00573	2
DB01082	DB00861	2
DB06696	DB04552	2
DB01172	DB13346	2
DB00955	DB00963	2
DB01577	DB01377	2
DB01172	DB06802	2
DB00479	DB09084	2
DB00479	DB13167	2
DB13142	DB01325	2
DB01172	DB08981	2
DB01082	DB01435	2
DB06696	DB00608	2
DB00955	DB07615	2
DB00684	DB00688	2
DB00798	DB00554	2
DB01172	DB01009	2
DB00452	DB00972	2
DB00452	DB08984	2
DB06696	DB00605	2
DB00452	DB08981	2
DB06696	DB01600	2
DB00955	DB00945	2
DB01082	DB06725	2
DB01356	DB00232	2
DB06696	DB00179	2
DB01577	DB01390	2
DB00798	DB00991	2
DB12615	DB08991	2
DB01164	DB00999	2
DB06696	DB06802	2
DB00684	DB08981	2
DB01172	DB01397	2
DB01421	DB00972	2
DB01082	DB00337	2
DB01164	DB01325	2
DB12615	DB00972	2
DB03615	DB09216	2
DB02659	DB00908	2
DB01365	DB09104	2
DB01164	DB01324	2
DB00452	DB01283	2
DB12615	DB00870	2
DB00865	DB01390	2
DB00684	DB01009	2
DB00937	DB13595	2
DB11093	DB00880	2
DB02659	DB00396	2
DB00204	DB00440	2
DB09352	DB03754	2
DB00684	DB08439	2
DB00452	DB11672	2
DB00415	DB13783	2
DB01172	DB06739	2
DB00258	DB00232	2
DB01172	DB00554	2
DB11126	DB00232	2
DB00684	DB00861	2
DB00452	DB01397	2
DB00684	DB00788	2
DB06696	DB00735	2
DB12615	DB06196	2
DB03615	DB00688	2
DB00191	DB09275	2
DB01060	DB13783	2
DB01421	DB00482	2
DB00798	DB01097	2
DB12615	DB06725	2
DB00452	DB03585	2
DB01577	DB06724	2
DB00798	DB03585	2
DB01172	DB00795	2
DB00798	DB00788	2
DB00852	DB01370	2
DB00798	DB08797	2
DB01577	DB09104	2
DB00798	DB00784	2
DB00955	DB01283	2
DB12615	DB01401	2
DB00937	DB13209	2
DB00798	DB00821	2
DB00684	DB00768	2
DB00937	DB06724	2
DB00937	DB06723	2
DB06696	DB08981	2
DB00452	DB01097	2
DB00684	DB00812	2
DB00258	DB00524	2
DB03615	DB01628	2
DB00684	DB00814	2
DB03615	DB09288	2
DB00452	DB06739	2
DB00798	DB00608	2
DB03615	DB01009	2
DB00798	DB08976	2
DB00191	DB13595	2
DB00908	DB01144	2
DB00258	DB00562	2
DB01365	DB01390	2
DB12615	DB01014	2
DB00908	DB09275	2
DB01082	DB09084	2
DB01421	DB00735	2
DB00452	DB02709	2
DB01576	DB13209	2
DB03615	DB00533	2
DB00955	DB06737	2
DB01421	DB00821	2
DB01255	DB09275	2
DB01164	DB00524	2
DB00479	DB01024	2
DB01172	DB00179	2
DB01577	DB13595	2
DB06696	DB00788	2
DB00452	DB01014	2
DB01172	DB00482	2
DB01421	DB01250	2
DB01082	DB00749	2
DB00798	DB08984	2
DB00300	DB00577	2
DB06696	DB00784	2
DB03615	DB04817	2
DB01082	DB00814	2
DB01082	DB00482	2
DB00452	DB01628	2
DB01082	DB00768	2
DB00479	DB00991	2
DB00937	DB09275	2
DB00955	DB09218	2
DB00955	DB00465	2
DB00798	DB00735	2
DB00955	DB00469	2
DB00955	DB09212	2
DB06696	DB13783	2
DB12615	DB06739	2
DB00798	DB00461	2
DB01082	DB09212	2
DB12615	DB03585	2
DB13231	DB01325	2
DB13231	DB01324	2
DB00182	DB13322	2
DB00684	DB00821	2
DB03615	DB06802	2
DB03615	DB01250	2
DB12615	DB00795	2
DB01082	DB00500	2
DB13231	DB00436	2
DB00479	DB00870	2
DB01421	DB09218	2
DB01082	DB00465	2
DB03615	DB05676	2
DB06696	DB04951	2
DB00955	DB00482	2
DB00955	DB13783	2
DB12615	DB00554	2
DB11126	DB00999	2
DB01421	DB00605	2
DB01172	DB08439	2
DB00937	DB01370	2
DB06696	DB00554	2
DB01421	DB00608	2
DB01082	DB01397	2
DB00452	DB00861	2
DB13231	DB00524	2
DB13142	DB00774	2
DB00479	DB01050	2
DB01365	DB13322	2
DB00955	DB01024	2
DB12615	DB13346	2
DB06696	DB00991	2
DB00452	DB00712	2
DB00865	DB01370	2
DB00798	DB04951	2
DB00684	DB13167	2
DB00452	DB00179	2
DB00452	DB00814	2
DB00937	DB01377	2
DB01576	DB09281	2
DB00684	DB08797	2
DB00955	DB01600	2
DB00479	DB00812	2
DB06696	DB00821	2
DB12615	DB13167	2
DB01172	DB00814	2
DB06696	DB13167	2
DB00955	DB00735	2
DB00684	DB06736	2
DB00452	DB00573	2
DB01172	DB00812	2
DB01172	DB06736	2
DB01172	DB06737	2
DB13142	DB01324	2
DB01082	DB00210	2
