주성분,복합제구분,복합제성분,약효분류,금기내용,비고,DUR성분영문명,DUR성분코드,병용금기DUR성분코드,병용금기DUR성분명,병용금기DUR성분영문명,병용금기주성분
[M253921]릴피비린염산염,단일,-,기타의화학요법제,위장pH의증가로릴피비린의흡수가저하되어릴피비린의치료효과감소,-,RilpivirineHydrochloride,D000225,D000153,에스오메프라졸마그네슘삼수화물,EsomeprazoleMagnesiumTrihydrate,[M092321]에스오메프라졸마그네슘삼수화물
[M089710]심바스타틴,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M097492]에제티미브/[M089710]심바스타틴/[M097492]에제티미브/[M089710]심바스타틴,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M089710]심바스타틴/[M097492]에제티미브,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M211313]알프라졸람,단일,-,정신신경용제,alprazolam의혈장농도증가|수면및진정작용증강및연장,-,Alprazolam,D000660,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M051464]케토프로펜,단일,-,해열.진통.소염제,신세뇨관에서Methotrexate배설이지연되어Methotrexate의혈액학적독성증가,methotrexate1週에15mg이상투여시,Ketoprofen,D000672,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M081361]케토프로펜리신,단일,-,해열.진통.소염제,신세뇨관에서Methotrexate배설이지연되어Methotrexate의혈액학적독성증가,methotrexate1週에15mg이상투여시,KetoprofenLysin,D000672,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M086538]분무건조아시트레틴25%,단일,-,비타민A및D제,간독성,-,SprayDriedAcitretin25%,D000019,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M082086]테녹시캄,단일,-,해열.진통.소염제,혈액학적독성,methotrexate(1週에20mg이상투여시),Tenoxicam,D000060,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
